"filename", "language", "JSON", "HTML", "JavaScript", "YAML", "Markdown", "Dart", "Properties", "Groovy", "XML", "WebAssembly Text Format", "comment", "blank", "total"
"c:\Users\Modather\FlutterProjects\personal_projects\portfolio\pubspec.yaml", "YAML", 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 13, 12, 73
"c:\Users\Modather\FlutterProjects\personal_projects\portfolio\web\index.html", "HTML", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 15, 7, 41
"c:\Users\Modather\FlutterProjects\personal_projects\portfolio\web\manifest.json", "JSON", 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35
"c:\Users\Modather\FlutterProjects\personal_projects\portfolio\web_app\assets\AssetManifest.bin.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Modather\FlutterProjects\personal_projects\portfolio\web_app\assets\AssetManifest.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Modather\FlutterProjects\personal_projects\portfolio\web_app\assets\FontManifest.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Modather\FlutterProjects\personal_projects\portfolio\web_app\assets\assets\animated_icons\background.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Modather\FlutterProjects\personal_projects\portfolio\web_app\assets\assets\animated_icons\message_send.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Modather\FlutterProjects\personal_projects\portfolio\web_app\assets\assets\animated_icons\muscle.json", "JSON", 5904, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5904
"c:\Users\Modather\FlutterProjects\personal_projects\portfolio\web_app\canvaskit\canvaskit.js", "JavaScript", 0, 0, 209, 0, 0, 0, 0, 0, 0, 0, 0, 6, 215
"c:\Users\Modather\FlutterProjects\personal_projects\portfolio\web_app\canvaskit\canvaskit.wasm", "WebAssembly Text Format", 0, 0, 0, 0, 0, 0, 0, 0, 0, 127874, 0, 3967, 131841
"c:\Users\Modather\FlutterProjects\personal_projects\portfolio\web_app\canvaskit\chromium\canvaskit.js", "JavaScript", 0, 0, 208, 0, 0, 0, 0, 0, 0, 0, 0, 6, 214
"c:\Users\Modather\FlutterProjects\personal_projects\portfolio\web_app\canvaskit\chromium\canvaskit.wasm", "WebAssembly Text Format", 0, 0, 0, 0, 0, 0, 0, 0, 0, 106141, 0, 2891, 109032
"c:\Users\Modather\FlutterProjects\personal_projects\portfolio\web_app\canvaskit\skwasm.js", "JavaScript", 0, 0, 161, 0, 0, 0, 0, 0, 0, 0, 0, 6, 167
"c:\Users\Modather\FlutterProjects\personal_projects\portfolio\web_app\canvaskit\skwasm.wasm", "WebAssembly Text Format", 0, 0, 0, 0, 0, 0, 0, 0, 0, 54526, 0, 1534, 56060
"c:\Users\Modather\FlutterProjects\personal_projects\portfolio\web_app\canvaskit\skwasm.worker.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\Modather\FlutterProjects\personal_projects\portfolio\web_app\flutter.js", "JavaScript", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 1, 5
"c:\Users\Modather\FlutterProjects\personal_projects\portfolio\web_app\flutter_bootstrap.js", "JavaScript", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 1, 4, 17
"c:\Users\Modather\FlutterProjects\personal_projects\portfolio\web_app\flutter_service_worker.js", "JavaScript", 0, 0, 209, 0, 0, 0, 0, 0, 0, 0, 31, 3, 243
"c:\Users\Modather\FlutterProjects\personal_projects\portfolio\web_app\index.html", "HTML", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 15, 7, 41
"c:\Users\Modather\FlutterProjects\personal_projects\portfolio\web_app\main.dart.js", "JavaScript", 0, 0, 79741, 0, 0, 0, 0, 0, 0, 0, 0, 1, 79742
"c:\Users\Modather\FlutterProjects\personal_projects\portfolio\web_app\manifest.json", "JSON", 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35
"c:\Users\Modather\FlutterProjects\personal_projects\portfolio\web_app\version.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"Total", "-", 11886, 38, 80544, 51, 6, 1326, 8, 69, 90, 288541, 216, 8666, 391441
